title,link,author,rating
"Art of Computer Programming, Volume 1: Fundamental Algorithms
ডোনাল্ড ই নাথ ",https://www.rokomari.com/book/123310/art-of-computer-programming-volume-1-fundamental-algorithms,ডোনাল্ড ই নাথ,N/A
"How Computers Work
রন হোয়াইট",https://www.rokomari.com/book/123315/how-computers-work,রন হোয়াইট,N/A
"Pattern Classification
ডেভিড স্ট্রোর্ক",https://www.rokomari.com/book/123336/pattern-classification,ডেভিড স্ট্রোর্ক,N/A
"Problem Solving And Program Design In C
জেরি আর হানলি",https://www.rokomari.com/book/123413/problem-solving-and-program-design-in-c,জেরি আর হানলি,N/A
"Modern Data Warehousing, Mining, and Visualization : Core Concepts
জর্জ এম মারাকাস ",https://www.rokomari.com/book/123439/modern-data-warehousing-mining-and-visualization-core-concepts,জর্জ এম মারাকাস,N/A
"Electrical Power Equipment Maintenance and Testing: 4 (Power Engineering Willis)
পল গিল",https://www.rokomari.com/book/123587/electrical-power-equipment-maintenance-and-testing-4-power-engineering-willis,পল গিল,N/A
"Acoustics: Sound Fields and Transducers
টিম জে মেলিউ",https://www.rokomari.com/book/123637/acoustics-sound-fields-and-transducers,টিম জে মেলিউ,N/A
"Product Manufacturing and Cost Estimating Using CAD/CAE
কুয়ান হুয়া চ্যাং",https://www.rokomari.com/book/123645/product-manufacturing-and-cost-estimating-using-cad-cae,কুয়ান হুয়া চ্যাং,N/A
"Computer Graphics Using Open GL
এম এম রাইকার",https://www.rokomari.com/book/123695/computer-graphics-using-open-gl,এম এম রাইকার,N/A
"Computer Networks: A System Approach
ল্যারি এল প্যাটারসন",https://www.rokomari.com/book/123724/computer-networks-a-system-approach,ল্যারি এল প্যাটারসন,N/A
"Object Oriented Programming with C  
রিমা থারেজা",https://www.rokomari.com/book/123788/object-oriented-programming-with-c,রিমা থারেজা,N/A
"Aquaculture Principles And Practices
এম.এন. কুট্টি",https://www.rokomari.com/book/143909/aquaculture-principles-and-practices,এম.এন. কুট্টি,(1)
"Electronics and Communication Engineering GATE 2018
অলকা সিং",https://www.rokomari.com/book/145458/electronics-and-communication-engineering-gate-2018,অলকা সিং,N/A
"Learning Java by Building Android Games - Explore Java Through Mobile Game Development 
জন হর্টন",https://www.rokomari.com/book/145464/learning-java-by-building-android-games-explore-java-through-mobile-game-development,জন হর্টন,N/A
"Giless Laboratory Course in Dyeing(Spiral-Bound)
সি এইচ গিলস",https://www.rokomari.com/book/144855/giless-laboratory-course-in-dyeing-spiral-bound,সি এইচ গিলস,N/A
"The Software Craftsman
স্যান্দ্র ম্যানকুসো",https://www.rokomari.com/book/126469/the-software-craftsman,স্যান্দ্র ম্যানকুসো,N/A
"Swing : A Beginner's Guide
হার্বার্ট স্কেল্ট্‌ ",https://www.rokomari.com/book/119355/swing-a-beginner-s-guide,হার্বার্ট স্কেল্ট্‌,(1)
"Environmental Science a Global Concern
উইলিয়াম পি কানিংহাম",https://www.rokomari.com/book/119362/environmental-science-a-global-concern,উইলিয়াম পি কানিংহাম,N/A
"Basic Electrical and Electronics Engineering
আই জে নাগরাথ",https://www.rokomari.com/book/119521/basic-electrical-and-electronics-engineering,আই জে নাগরাথ,N/A
"Hydraulic Machines
কে সুব্রামানয়া",https://www.rokomari.com/book/119527/hydraulic-machines,কে সুব্রামানয়া,N/A
"Communication Engineering
বিজয়া চিত্রা",https://www.rokomari.com/book/119528/communication-engineering,বিজয়া চিত্রা,N/A
"Enviornmental Biotechnology: Principles and Applications
পেরি ম্যাককার্টি",https://www.rokomari.com/book/119547/enviornmental-biotechnology-principles-and-applications,পেরি ম্যাককার্টি,N/A
"Basic Mechanical Engineering (Deemed University)
টি সান্মুগাম",https://www.rokomari.com/book/119623/basic-mechanical-engineering-deemed-university,টি সান্মুগাম,N/A
"Production Technology
হিন্দুস্তান মেশিন টুলস",https://www.rokomari.com/book/119625/production-technology,হিন্দুস্তান মেশিন টুলস,N/A
"Introduction to Operations Research: A Computer - Oriented Algorithmic Approach
বিলি জিলেট",https://www.rokomari.com/book/119631/introduction-to-operations-research-a-computer-oriented-algorithmic-approach,বিলি জিলেট,N/A
"Welding and Welding Technology
রিচার্ড লিটল",https://www.rokomari.com/book/119635/welding-and-welding-technology,রিচার্ড লিটল,N/A
"Smart Grid Infrastructure 
ক্রেজটফ ক্রিজ ইনিওয়েস্কি",https://www.rokomari.com/book/119694/smart-grid-infrastructure,ক্রেজটফ ক্রিজ ইনিওয়েস্কি,N/A
"Hacking Exposed 7: Networking Security Secrets and Solutions
স্টুয়ার্ট ম্যাকক্লুর",https://www.rokomari.com/book/119726/hacking-exposed-7-networking-security-secrets-and-solutions,স্টুয়ার্ট ম্যাকক্লুর,(1)
"Electrical and Electronic Measurement and Instrumentation (WBUT'13)
স্বপন কুমার পুরক্যাইট",https://www.rokomari.com/book/119739/electrical-and-electronic-measurement-and-instrumentation-wbut-13,স্বপন কুমার পুরক্যাইট,N/A
"Mechanical Engineering for GATE/PSUS
ভিকাস সালরিয়া",https://www.rokomari.com/book/119767/mechanical-engineering-for-gate-psus,ভিকাস সালরিয়া,N/A
"Process Systems Analysis and Control
ডোনাল্ড আর কফনাউর",https://www.rokomari.com/book/119848/process-systems-analysis-and-control,ডোনাল্ড আর কফনাউর,N/A
"Digital Signal Processing: A Computer - Based Approach
সঞ্জিত কে. মিত্র ",https://www.rokomari.com/book/119853/digital-signal-processing-a-computer-based-approach,সঞ্জিত কে. মিত্র,N/A
"Structures 
বেকহল্ড স্কডেক",https://www.rokomari.com/book/119920/structures,বেকহল্ড স্কডেক,N/A
"Construction Management Fundamentals
ক্রেগ নাটসন",https://www.rokomari.com/book/120413/construction-management-fundamentals,ক্রেগ নাটসন,N/A
"Network Theory
এস পি ঘোষ",https://www.rokomari.com/book/119012/network-theory,এস পি ঘোষ,N/A
"Oracle Database 11G Sql
জেসন প্রাইস",https://www.rokomari.com/book/119040/oracle-database-11g-sql,জেসন প্রাইস,N/A
"Hacking Exposed Web Applications 3
জোয়েল স্কেম্বারি",https://www.rokomari.com/book/119186/hacking-exposed-web-applications-3,জোয়েল স্কেম্বারি,(3)
"HTML5 for iOS and Android: A Beginner's Guide
রবিন নিক্সন",https://www.rokomari.com/book/119198/html5-for-ios-and-android-a-beginner-s-guide,রবিন নিক্সন,(1)
"Oracle Database 11g Oracle Real Application Clusters Handbook
কে গোপালকৃষ্ণ",https://www.rokomari.com/book/119214/oracle-database-11g-oracle-real-application-clusters-handbook,কে গোপালকৃষ্ণ,(1)
"Software Engineering: A Practitioner's Approach
রজার এস প্রেসম্যান",https://www.rokomari.com/book/150352/software-engineering-a-practitioner-s-approach,রজার এস প্রেসম্যান,N/A
"Fluid Flow for Chemical Engineers
ফেইজ জি আওয়াদ ",https://www.rokomari.com/book/122034/fluid-flow-for-chemical-engineers,ফেইজ জি আওয়াদ,N/A
"Fluid Mechanics with Engineering Applications
ফ্রাঞ্জিনি",https://www.rokomari.com/book/122133/fluid-mechanics-with-engineering-applications,ফ্রাঞ্জিনি,N/A
"Computer Organization
ঘোষ",https://www.rokomari.com/book/122207/computer-organization,ঘোষ,N/A
"OCM Java EE 6 Enterprise Architect Exam Guide
পল আর. আলেন",https://www.rokomari.com/book/122219/ocm-java-ee-6-enterprise-architect-exam-guide,পল আর. আলেন,N/A
"Java EE 7: The Big Picture
ড্যানি কাওয়ার্ড",https://www.rokomari.com/book/122281/java-ee-7-the-big-picture,ড্যানি কাওয়ার্ড,N/A
"Matlab Numerical Methods with Chemical Engineering
মার্সেলো পেরেজ-পেপে",https://www.rokomari.com/book/122448/matlab-numerical-methods-with-chemical-engineering,মার্সেলো পেরেজ-পেপে,N/A
"Protective Relaying: Principles and Applications
মুহাম্মাদ জেলাজু",https://www.rokomari.com/book/122510/protective-relaying-principles-and-applications,মুহাম্মাদ জেলাজু,N/A
"Pattern Cutting for Clothing Using CAD: How to Use Lectra Modaris Pattern Cutting Software (Woodhead Publishing Series in Textiles)
ম্যাগি স্টট",https://www.rokomari.com/book/122974/pattern-cutting-for-clothing-using-cad-how-to-use-lectra-modaris-pattern-cutting-software-woodhead-publishing-series-in-textiles,ম্যাগি স্টট,N/A
"Discrete Mathematics For Computer Science
কেনেথ বোগার্ট",https://www.rokomari.com/book/149270/discrete-mathematics-for-computer-science,কেনেথ বোগার্ট,N/A
"Indian Mujahideen: Computational Analysis and Public Policy
আর কে রাঘাভান",https://www.rokomari.com/book/149303/indian-mujahideen-computational-analysis-and-public-policy,আর কে রাঘাভান,N/A
"Master Data Management and Data Governance
ল্যারি দুবোভ",https://www.rokomari.com/book/149328/master-data-management-and-data-governance,ল্যারি দুবোভ,N/A
"Foundation Analysis and Design
জোসেফ ই. বউলস্‌ ",https://www.rokomari.com/book/149339/foundation-analysis-and-design,জোসেফ ই. বউলস্‌,N/A
"JEE Main Complete Chemistry 
এমএইচই ",https://www.rokomari.com/book/149457/jee-main-complete-chemistry,এমএইচই,N/A
"Engineering Thermodynamics
পি. কে. নাগ ",https://www.rokomari.com/book/149523/engineering-thermodynamics,পি. কে. নাগ,N/A
"Natural Language Processing And Text Mining
অ্যান কাও",https://www.rokomari.com/book/149559/natural-language-processing-and-text-mining,অ্যান কাও,(1)
"Wireless Communication Systems and Networks
ওহসেন গুইজানি",https://www.rokomari.com/book/149632/wireless-communication-systems-and-networks,ওহসেন গুইজানি,(1)
"Introduction to Circuit Analysis and Design
টিলডন গিলসন, জুনিয়র",https://www.rokomari.com/book/149647/introduction-to-circuit-analysis-and-design,"টিলডন গিলসন, জুনিয়র",(1)
"Modern Power System Analysis
ম্যালকম ইরভিং",https://www.rokomari.com/book/149819/modern-power-system-analysis,ম্যালকম ইরভিং,(1)
"Power Transmission Through Direct Current
এরিখ উলম্যান",https://www.rokomari.com/book/149834/power-transmission-through-direct-current,এরিখ উলম্যান,(1)
"Numerical And Statistical Methods - Cse (Gtu'16)
মুকুল ভাট",https://www.rokomari.com/book/149966/numerical-and-statistical-methods-cse-gtu-16,মুকুল ভাট,(1)
"Basic Mechanical Engineering
ইঞ্জি.আর কে রাজপুত ",https://www.rokomari.com/book/148926/basic-mechanical-engineering,ইঞ্জি.আর কে রাজপুত,N/A
"R For Dummies
অ্যান্ড্রি ডি ভেরিজ",https://www.rokomari.com/book/137840/r-for-dummies,অ্যান্ড্রি ডি ভেরিজ,N/A
"Process of Communication
ডি. কে বার্লো",https://www.rokomari.com/book/86617/process-of-communication,ডি. কে বার্লো,N/A
"New Communications 
ফ্রেডেরিক উইলিয়ামস ",https://www.rokomari.com/book/86622/new-communications,ফ্রেডেরিক উইলিয়ামস,N/A
"Soil Mechanics Fundamentals: Metric Version
মুনি বুধু",https://www.rokomari.com/book/340295/soil-mechanics-fundamentals-metric-version,মুনি বুধু,N/A
"Drilling Mud and Cement Slurry Rheology Manual
ফরাসি তেল",https://www.rokomari.com/book/290832/drilling-mud-and-cement-slurry-rheology-manual,ফরাসি তেল,N/A
"Draping and Pattern Making for Fashion Design
কামাল খুরানা",https://www.rokomari.com/book/124445/draping-and-pattern-making-for-fashion-design,কামাল খুরানা,N/A
"Visual Basic 2008 
ডায়ান জ্যাক ",https://www.rokomari.com/book/54045/visual-basic-2008,ডায়ান জ্যাক,N/A
"Java Programming With CD 
ডি. এস. মালিক",https://www.rokomari.com/book/54059/java-programming-with-cd,ডি. এস. মালিক,N/A
"Computer Forensics and Investigations with DVD 
বিল নেলসন ",https://www.rokomari.com/book/54076/computer-forensics-and-investigations-with-dvd,বিল নেলসন,N/A
"Programming Languages:Principles and Practice 
কেনেথ সি. লাউডেন ",https://www.rokomari.com/book/54080/programming-languages-principles-and-practice,কেনেথ সি. লাউডেন,N/A
"Operating Systems: Principles, Design and Applications 
ব্রায়ান স্টুয়ার্ট",https://www.rokomari.com/book/54081/operating-systems-principles-design-and-applications,ব্রায়ান স্টুয়ার্ট,N/A
"Human Computer Interaction Basics and Practice 
স্মিথ অ্যাটাকান",https://www.rokomari.com/book/54082/human-computer-interaction-basics-and-practice,স্মিথ অ্যাটাকান,N/A
"Digital Logic Design: Using Verilog State Machines and Synthesis for FPGAs 
সানগু লি",https://www.rokomari.com/book/54085/digital-logic-design-using-verilog-state-machines-and-synthesis-for-fpgas,সানগু লি,N/A
"Thory of Computation 
রাজেশ শুকলা ",https://www.rokomari.com/book/54088/thory-of-computation,রাজেশ শুকলা,N/A
"Modern Computer Architecture
রফিকুজ্জামান, মহিত",https://www.rokomari.com/book/54092/modern-computer-architecture,"রফিকুজ্জামান, মহিত",N/A
"Information Systems Architecture 
স্টিফেন ডি. বার্ড",https://www.rokomari.com/book/54101/information-systems-architecture,স্টিফেন ডি. বার্ড,N/A
"Compiler Construction: Principles and Practice 
কেনেথ সি. লাউডেন ",https://www.rokomari.com/book/54104/compiler-construction-principles-and-practice,কেনেথ সি. লাউডেন,N/A
"Ethics In Information Technology 
জর্জ রেনল্ডস্‌ ",https://www.rokomari.com/book/54115/ethics-in-information-technology,জর্জ রেনল্ডস্‌,N/A
"Communication is a Virtual Organization 
রবার্ট ই. কলিন্স",https://www.rokomari.com/book/54151/communication-is-a-virtual-organization,রবার্ট ই. কলিন্স,N/A
"HTML Example Book PB
ফেরার ই",https://www.rokomari.com/book/54165/html-example-book-pb,ফেরার ই,(1)
"Exam Cram 2 CCNA: (Exam 640- 821, 640-811, 640-801)
গ্যারেথ জন্স",https://www.rokomari.com/book/54166/exam-cram-2-ccna-exam-640-821-640-811-640-801,গ্যারেথ জন্স,N/A
"Teach Yourself Visual Basic Net In 24 Hourse
ফক্সঅল জেমস্‌",https://www.rokomari.com/book/54194/teach-yourself-visual-basic-net-in-24-hourse,ফক্সঅল জেমস্‌,N/A
"Illustrator 10 Wow! Book
স্টেউয়ার এস",https://www.rokomari.com/book/54214/illustrator-10-wow-book,স্টেউয়ার এস,N/A
"HTML 4 How-to 
জাকওয়ার জে",https://www.rokomari.com/book/54230/html-4-how-to,জাকওয়ার জে,N/A
"Sams Teach Yourself UNIX In 24 Hours 
টেইলর, দেব",https://www.rokomari.com/book/54231/sams-teach-yourself-unix-in-24-hours,"টেইলর, দেব",N/A
"Sams Teach Yourself Microsoft Excel 2000 Programming In 21 Days 
হ্যারিস এম",https://www.rokomari.com/book/54246/sams-teach-yourself-microsoft-excel-2000-programming-in-21-days,হ্যারিস এম,N/A
"Basic Electronics and Instrumentation 
বি. কে. আগারওয়াল",https://www.rokomari.com/book/54299/basic-electronics-and-instrumentation,বি. কে. আগারওয়াল,N/A
"CGI Programing 
রাফ কালভার্ণ",https://www.rokomari.com/book/54314/cgi-programing,রাফ কালভার্ণ,N/A
"Design Of R.C.C. Structures In S.I. Units 
জি. শিং ",https://www.rokomari.com/book/54376/design-of-r-c-c-structures-in-s-i-units,জি. শিং,N/A
"Oracle Database 11g - Hands-On SQL And PL/SQL
শতিশ আসনানি",https://www.rokomari.com/book/54416/oracle-database-11g-hands-on-sql-and-pl-sql,শতিশ আসনানি,N/A
"The Internet Book 
ডগলাস ই. কামার ",https://www.rokomari.com/book/54418/the-internet-book,ডগলাস ই. কামার,N/A
"Mechanical Sciences Engineering Machine and strength of Materials 
অক্ষয় রঞ্জন পাল",https://www.rokomari.com/book/54441/mechanical-sciences-engineering-machine-and-strength-of-materials,অক্ষয় রঞ্জন পাল,N/A
"CMOS Mixed Signal Circuit Design 
আর. জ্যাকব বেকার",https://www.rokomari.com/book/54529/cmos-mixed-signal-circuit-design,আর. জ্যাকব বেকার,N/A
"Basic Engineering Circuit Analysis
ইরনেইন",https://www.rokomari.com/book/54580/basic-engineering-circuit-analysis,ইরনেইন,N/A
"Engineering Mechanics: Dynamics, Volume- 2
জে. এল. মারিয়াম",https://www.rokomari.com/book/54638/engineering-mechanics-dynamics-volume-2,জে. এল. মারিয়াম,N/A
"The Telecommunications Handbook 
কর্ণেল তেরপ্লান ",https://www.rokomari.com/book/54803/the-telecommunications-handbook,কর্ণেল তেরপ্লান,N/A
"Mettal Cutting 
অমিতাভা ভট্টাচার্য ",https://www.rokomari.com/book/54806/mettal-cutting,অমিতাভা ভট্টাচার্য,N/A
"Biochemical Engineering, Biochemistry, Biotechnology and Microbiology 
এস. পি. শর্মা ",https://www.rokomari.com/book/61056/biochemical-engineering-biochemistry-biotechnology-and-microbiology,এস. পি. শর্মা,N/A
"SAP Planning: Besh Practices in Implementation 
জর্জ ডব্লিউ এ্যান্ডারসন",https://www.rokomari.com/book/71014/sap-planning-besh-practices-in-implementation,জর্জ ডব্লিউ এ্যান্ডারসন,N/A
"Modern Operating Systems 
এন্ড্রিউ এস. টানেনবাউম ",https://www.rokomari.com/book/71057/modern-operating-systems,এন্ড্রিউ এস. টানেনবাউম,N/A
"C Programming Concepts : With problems and Solutions 
জিতেন্দ্র কুমার চাব্রা",https://www.rokomari.com/book/71093/c-programming-concepts-with-problems-and-solutions,জিতেন্দ্র কুমার চাব্রা,N/A
"Control Systems 
কে. আর. ভার্মা",https://www.rokomari.com/book/71134/control-systems,কে. আর. ভার্মা,N/A
"Control Systems 
অশোক কুমার বাজাজ",https://www.rokomari.com/book/71135/control-systems,অশোক কুমার বাজাজ,N/A
"Database Management Systems 
র‍্যামন মাতা-টলেডো ",https://www.rokomari.com/book/71143/database-management-systems,র‍্যামন মাতা-টলেডো,N/A
"System Software 
নিথায়াশ্রী",https://www.rokomari.com/book/71227/system-software,নিথায়াশ্রী,N/A
"Theory of Computer Science 
কে. এল. পি মিশ্রা ",https://www.rokomari.com/book/71235/theory-of-computer-science,কে. এল. পি মিশ্রা,N/A
"CAD/CAM: Principles and Applications 
পি. এন. রায়",https://www.rokomari.com/book/71252/cad-cam-principles-and-applications,পি. এন. রায়,N/A
"Programming in MATLAB for Engineers 
ষ্টিফেন জে. চ্যাপম্যান ",https://www.rokomari.com/book/71257/programming-in-matlab-for-engineers,ষ্টিফেন জে. চ্যাপম্যান,N/A
"Mems and Microsystems Design and Manufacture 
টাই-র‌্যান হুসু",https://www.rokomari.com/book/71270/mems-and-microsystems-design-and-manufacture,টাই-র‌্যান হুসু,N/A
"Operations Research: An Introduction, 9e 
তাহা",https://www.rokomari.com/book/71993/operations-research-an-introduction-9e,তাহা,N/A
"Stereochemistry of Carbon Compounds (1st Ed)
ইলিয়েল",https://www.rokomari.com/book/72132/stereochemistry-of-carbon-compounds-1st-ed,ইলিয়েল,N/A
"Environmental Studies 
বেনি জোসেফ",https://www.rokomari.com/book/72172/environmental-studies,বেনি জোসেফ,N/A
"A First Course in the Finite Element Methods 
ড্যারি এল. লোগান",https://www.rokomari.com/book/72181/a-first-course-in-the-finite-element-methods,ড্যারি এল. লোগান,N/A
"Reinforced Concrete Design 
এস উন্নিকৃষ্ণ পিল্লাই ",https://www.rokomari.com/book/72189/reinforced-concrete-design,এস উন্নিকৃষ্ণ পিল্লাই,N/A
"Wireless and Mobile Security 
পাল্লাপা ভেনকাটারাম ",https://www.rokomari.com/book/72214/wireless-and-mobile-security,পাল্লাপা ভেনকাটারাম,N/A
"Cryptography and Network Security (SIE) 
বেহ্‌রোজ এ. ফোরোউজান ",https://www.rokomari.com/book/72259/cryptography-and-network-security-sie,বেহ্‌রোজ এ. ফোরোউজান,N/A
"Fundamentals of Finite Element Analysis 
ডেভিড ভি. হাট্টন",https://www.rokomari.com/book/72264/fundamentals-of-finite-element-analysis,ডেভিড ভি. হাট্টন,N/A
"Digital Signal Processing : A Computer-Based Approach 
সঞ্জিত কে. মিত্র ",https://www.rokomari.com/book/72276/digital-signal-processing-a-computer-based-approach,সঞ্জিত কে. মিত্র,N/A
"Electronic Circuits Analysis and Design
ডোনাল্ড এ নিয়ামিন",https://www.rokomari.com/book/72304/electronic-circuits-analysis-and-design,ডোনাল্ড এ নিয়ামিন,N/A
"Experimental Methods for Engineers 
জে পি হলম্যান ",https://www.rokomari.com/book/72308/experimental-methods-for-engineers,জে পি হলম্যান,N/A
"Digital Circuits Volume-1 
রায় চৌধুরী",https://www.rokomari.com/book/72310/digital-circuits-volume-1,রায় চৌধুরী,N/A
"Digital Circuits Volume-2
ডি. রায় চৌধুরী",https://www.rokomari.com/book/72311/digital-circuits-volume-2,ডি. রায় চৌধুরী,(1)
"Materials Science and Engineering 
ডোনাল্ড এসকেল্যান্ড",https://www.rokomari.com/book/72342/materials-science-and-engineering,ডোনাল্ড এসকেল্যান্ড,N/A
"Solar Energy : Principles Of Thermal Collection And Storage
এস. পি. সুখাটমি ",https://www.rokomari.com/book/72462/solar-energy-principles-of-thermal-collection-and-storage,এস. পি. সুখাটমি,N/A
"Electric Power Systems (Schaum's Outlines Series) 
সাইদ এ. নাসের",https://www.rokomari.com/book/72470/electric-power-systems-schaum-s-outlines-series,সাইদ এ. নাসের,N/A
"Numerical Methods for Engineers With MATLAB 
স্টিভেন সি চ্যাপরা",https://www.rokomari.com/book/72477/numerical-methods-for-engineers-with-matlab,স্টিভেন সি চ্যাপরা,N/A
"The Illustrated Computer Dictionary 
ডোনাল্ড ডি. স্পেনসার",https://www.rokomari.com/book/69633/the-illustrated-computer-dictionary,ডোনাল্ড ডি. স্পেনসার,N/A
"A Textbook of Production Technology Vol II 
ও. পি. খান্না",https://www.rokomari.com/book/69650/a-textbook-of-production-technology-vol-ii,ও. পি. খান্না,N/A
"An Introduction to Continuum Mechanics 
গুরটিন",https://www.rokomari.com/book/69665/an-introduction-to-continuum-mechanics,গুরটিন,N/A
"Boiler Operator's Guide 
এ্যান্থনী এল. কোহান",https://www.rokomari.com/book/69668/boiler-operator-s-guide,এ্যান্থনী এল. কোহান,N/A
"VLSI Technology 
এস এম সিজিই",https://www.rokomari.com/book/69691/vlsi-technology,এস এম সিজিই,N/A
"Introduction to Hydraulics and Pneumatics 
এস. ইলাঙ্গো",https://www.rokomari.com/book/69723/introduction-to-hydraulics-and-pneumatics,এস. ইলাঙ্গো,N/A
"Introduction to Mechatronics 
অপ্পু কুত্তান কে. কে.",https://www.rokomari.com/book/69725/introduction-to-mechatronics,অপ্পু কুত্তান কে. কে.,N/A
"Electric Circuits 
ডেভিড এ. বেল",https://www.rokomari.com/book/69735/electric-circuits,ডেভিড এ. বেল,N/A
"An Introduction To Web Technology 
ভিপিন কুমার ",https://www.rokomari.com/book/69864/an-introduction-to-web-technology,ভিপিন কুমার,N/A
"Basic Electrical Engineering With Numerical Problems, 2 Volume Set 
পি. এস. ধোগাল",https://www.rokomari.com/book/70608/basic-electrical-engineering-with-numerical-problems-2-volume-set,পি. এস. ধোগাল,N/A
"Elements of Digital Signal Processing 
মনোজ কুমার সরকার",https://www.rokomari.com/book/70635/elements-of-digital-signal-processing,মনোজ কুমার সরকার,N/A
"Quantum Field Theory : A Modern Perspective 
নয়ার ",https://www.rokomari.com/book/70649/quantum-field-theory-a-modern-perspective,নয়ার,(1)
"An Introduction to Mechanics of Solids (in SI Units) 
ষ্টিফেন ক্রানডাল",https://www.rokomari.com/book/70663/an-introduction-to-mechanics-of-solids-in-si-units,ষ্টিফেন ক্রানডাল,N/A
"Fundamentals of Wireless Networking 
রন প্রাইজ",https://www.rokomari.com/book/70665/fundamentals-of-wireless-networking,রন প্রাইজ,N/A
"Boiler Operation Engineering: Question and Answer 
পি. চট্টোপাধ্যায় ",https://www.rokomari.com/book/70692/boiler-operation-engineering-question-and-answer,পি. চট্টোপাধ্যায়,N/A
"Elements of Fracture Mechanics 
প্রশান্ত কুমার",https://www.rokomari.com/book/70698/elements-of-fracture-mechanics,প্রশান্ত কুমার,N/A
"Engineering Mechanics : Dynamics 
জে. এল. মারিয়াম",https://www.rokomari.com/book/70707/engineering-mechanics-dynamics,জে. এল. মারিয়াম,N/A
"Fluid Mechanics 
ফ্রাঙ্ক এম হোয়াইট",https://www.rokomari.com/book/70714/fluid-mechanics,ফ্রাঙ্ক এম হোয়াইট,N/A
"Numerical Methods for Linear Control Systems 
বিশ্ব নাথ দত্ত",https://www.rokomari.com/book/70720/numerical-methods-for-linear-control-systems,বিশ্ব নাথ দত্ত,N/A
"Power Station Engineering and Economy 
বার্নহার্টড জি .এ. স্করটজকি ",https://www.rokomari.com/book/70848/power-station-engineering-and-economy,বার্নহার্টড জি .এ. স্করটজকি,N/A
"Railway Track Engineering 
জে. এস. মান্ড্রে ",https://www.rokomari.com/book/70863/railway-track-engineering,জে. এস. মান্ড্রে,N/A
"Applied Hydrology 
ভ্যান চাও ",https://www.rokomari.com/book/70933/applied-hydrology,ভ্যান চাও,N/A
"Teach Yourself C 
হার্বার্ট স্কেল্ট্‌ ",https://www.rokomari.com/book/92970/teach-yourself-c,হার্বার্ট স্কেল্ট্‌,(4)
"Unproblem JEE Mechanics 1 JEE Mains and Advanced
প্রদীপ বেনিয়াল",https://www.rokomari.com/book/325944/unproblem-jee-mechanics-1-jee-mains-and-advanced,প্রদীপ বেনিয়াল,N/A
"Le Corbusier
উইলিয়াম জে আর কার্টিস",https://www.rokomari.com/book/122992/le-corbusier,উইলিয়াম জে আর কার্টিস,N/A
"Effective DevOps
জেনিফার ডেভিস",https://www.rokomari.com/book/118258/effective-devops,জেনিফার ডেভিস,N/A
"Introduction to Biomedical Engineering Technology
লরেন্স জে স্ট্রিট",https://www.rokomari.com/book/166159/introduction-to-biomedical-engineering-technology,লরেন্স জে স্ট্রিট,N/A
"Electronic Instrumentation and Measurements 
ডেভিড এ. বেল",https://www.rokomari.com/book/54425/electronic-instrumentation-and-measurements,ডেভিড এ. বেল,N/A
"Machine Tool and Manufacturing Technology
স্টিভ ক্রার",https://www.rokomari.com/book/54331/machine-tool-and-manufacturing-technology,স্টিভ ক্রার,N/A
"Railway Engineering 
বি এল গুপ্ত",https://www.rokomari.com/book/54374/railway-engineering,বি এল গুপ্ত,N/A
"System Simulation with Digital Computer 
নার্সিং দেও",https://www.rokomari.com/book/54417/system-simulation-with-digital-computer,নার্সিং দেও,N/A
"Foundations for Microwave Engineering - 2nd Edition
রবার্ট ই. কলিন্স",https://www.rokomari.com/book/54563/foundations-for-microwave-engineering,রবার্ট ই. কলিন্স,N/A
"Handbook Of Concrete Engineering 
মার্ক ফাইনটেল",https://www.rokomari.com/book/54320/handbook-of-concrete-engineering,মার্ক ফাইনটেল,N/A
"Introduction to Electric Circuits - 6th edition
রিচেন্ড সি. ডর্ফ",https://www.rokomari.com/book/54575/introduction-to-electric-circuits,রিচেন্ড সি. ডর্ফ,(1)
"Business Data Communications And Networking - Eighth edition
জেরী ফিটজেরান্ড",https://www.rokomari.com/book/54557/business-data-communications-and-networking,জেরী ফিটজেরান্ড,N/A
"Analysis and Design of Analog Integrated Circuits 
 পল আর গ্রে",https://www.rokomari.com/book/54566/analysis-and-design-of-analog-integrated-circuits,পল আর গ্রে,N/A
"System Analysis and Design with UML Version 2.0 - 2nd Edition
অ্যাালান ডেনিস ",https://www.rokomari.com/book/54545/system-analysis-and-design-with-uml-version-2-0,অ্যাালান ডেনিস,N/A
"Visual Basic.Net Programming Bible 
বিল ইভজেন",https://www.rokomari.com/book/54548/visual-basic-net-programming-bible,বিল ইভজেন,N/A
"Pulse and Digital Circuits 
কুমার এ আনন্দ",https://www.rokomari.com/book/54338/pulse-and-digital-circuits,কুমার এ আনন্দ,N/A
"Digital Telephony 
জন সি. বেলামী",https://www.rokomari.com/book/54571/digital-telephony,জন সি. বেলামী,N/A
"Statistical Digital Signal Processing and Modeling 
মনসুন এইচ হেজ",https://www.rokomari.com/book/54576/statistical-digital-signal-processing-and-modeling,মনসুন এইচ হেজ,N/A
"Data Communications and Networks
জেমস্‌ ইরভিন ",https://www.rokomari.com/book/54550/data-communications-and-networks,জেমস্‌ ইরভিন,N/A
"Cobol for the 21st Century 
স্টার্ণ এন",https://www.rokomari.com/book/54540/cobol-for-the-21st-century,স্টার্ণ এন,N/A
