title,link,author,rating
"Introduction to Classical Mechanics 
আর জি. তাকওয়ালে",https://www.rokomari.com/book/70734/introduction-to-classical-mechanics,আর জি. তাকওয়ালে,(3)
"Bridge Engineering 
এস. পুন্নুস্বামী",https://www.rokomari.com/book/70864/bridge-engineering,এস. পুন্নুস্বামী,(1)
"Industrial Engineering And Production Management
মার্তান্ড টি তেলসাং",https://www.rokomari.com/book/338506/industrial-engineering-and-production-management,মার্তান্ড টি তেলসাং,N/A
"Straight and Level: Practical Airline Economics, 3rd Edition
স্টিফেন হলোওয়ে",https://www.rokomari.com/book/121936/straight-and-level-practical-airline-economics-3rd-edition,স্টিফেন হলোওয়ে,(6)
"Shreve'S Chemical Process Industries 
জর্জ টি. অস্টিন",https://www.rokomari.com/book/105160/shreve-s-chemical-process-industries,জর্জ টি. অস্টিন,(2)
"Chemical Kinetics, 3e
কিথ জে লেইডলার",https://www.rokomari.com/book/221300/chemical-kinetics-3e,কিথ জে লেইডলার,(3)
"Principles Of Distributed Database Systems 
এম টামের ওজসু",https://www.rokomari.com/book/102977/principles-of-distributed-database-systems,এম টামের ওজসু,(3)
"Fiber Optic Communications
জোসেফ সি. প্যালাইস",https://www.rokomari.com/book/115490/fiber-optic-communications,জোসেফ সি. প্যালাইস,(1)
"Corrosion Engineering 
মার্স জি. ফোনটনা",https://www.rokomari.com/book/105297/corrosion-engineering,মার্স জি. ফোনটনা,(4)
"Design and Analysis of Algorithms
S Sridhar",https://www.rokomari.com/book/160041/design-and-analysis-of-algorithms,S Sridhar,N/A
"Engineering Thermodynamics 
পি. চট্টোপাধ্যায় ",https://www.rokomari.com/book/69693/engineering-thermodynamics,পি. চট্টোপাধ্যায়,(3)
"Power Systems Harmonics: Fundamentals, Analysis and Filter Design
জর্জ জে ওয়কিলেহ",https://www.rokomari.com/book/149833/power-systems-harmonics-fundamentals-analysis-and-filter-design,জর্জ জে ওয়কিলেহ,(3)
"Power Quality Enhancement Using Custom Power Devices
জেরার্ড ল্যাডউইচ",https://www.rokomari.com/book/149649/power-quality-enhancement-using-custom-power-devices,জেরার্ড ল্যাডউইচ,(3)
"Managing Cloud Computing
আলবার্তো সিনতাদো ন্যাভালাস",https://www.rokomari.com/book/162150/managing-cloud-computing,আলবার্তো সিনতাদো ন্যাভালাস,(2)
"India Textile Policy for the 21st Century: A special emphasis on the Cellulosic Fibre Group 
বিজয়া কাট্টি ",https://www.rokomari.com/book/54801/india-textile-policy-for-the-21st-century-a-special-emphasis-on-the-cellulosic-fibre-group,বিজয়া কাট্টি,(2)
"Instruction Manual Of Technical Textile
জি.এম. ফয়সাল",https://www.rokomari.com/book/133641/instruction-manual-of-technical-textile,জি.এম. ফয়সাল,(1)
"গার্মেন্টস কোয়ালিটি ম্যানেজমেন্ট
মোহাম্মদ তাজাম্মল হুসাইন",https://www.rokomari.com/book/86743/garments-quality-management,মোহাম্মদ তাজাম্মল হুসাইন,(4)
"প্রফেশনাল ইন্ডাস্ট্রিয়াল অটোমেশন 
আজাদুর রহমান আজাদ",https://www.rokomari.com/book/288278/professional-industrial-automation,আজাদুর রহমান আজাদ,(8)
"স্ট্রাকচারড সি/সি-প্লাস-প্লাস প্রোগ্রামিং (৩য় সংস্করণ)
ড. মোহাম্মদ কায়কোবাদ",https://www.rokomari.com/book/200054/structured-c-c-programming-kathamomukhi-c-c-plus-plus-porigonona-3rd-edition,ড. মোহাম্মদ কায়কোবাদ,(14)
"The C Plus Plus Programming Language
বিয়ারনে স্ট্রোভস্ট্রুপের",https://www.rokomari.com/book/103376/the-c-plus-plus-programming-language,বিয়ারনে স্ট্রোভস্ট্রুপের,(3)
"আর্কিটেকচার Admission Handbook 2024
বর্হিণ ২০",https://www.rokomari.com/book/430420/architecture-admission-handbook-2024,বর্হিণ ২০,(4)
"সার্ভেয়িং - ২ (২৬৪৪৪) ৪র্থ সেমিস্টার
টেকনিক্যাল প্রকাশনী",https://www.rokomari.com/book/264130/surveying-2-26444-4th-semester,টেকনিক্যাল প্রকাশনী,N/A
"A Guide To Essential Knowledge on RMG and Textiles - Part-1
মোঃ মনিরুল ইসলাম রাজিব",https://www.rokomari.com/book/225994/a-guide-to-essential-knowledge-on-rmg-and-textiles,মোঃ মনিরুল ইসলাম রাজিব,(67)
"A Beginner's Guide To Data Science 
এনামুল হক (প্রযুক্তি বিষয়ক)",https://www.rokomari.com/book/350714/a-beginner-s-guide-to-data-science,এনামুল হক (প্রযুক্তি বিষয়ক),(1)
"Fundamentals of Technical English for Engneering Students
আব্দুল্লাহ আল মিজান",https://www.rokomari.com/book/197097/fundamentals-of-technical-english-for-engneering-students,আব্দুল্লাহ আল মিজান,(3)
"Natural Fibers
ড. হোসনে আরা বেগম",https://www.rokomari.com/book/133646/natural-fibers,ড. হোসনে আরা বেগম,(4)
"আমাদের ঘরবাড়িঃ প্রসংগ কথা
আবুল ফরাজ খান",https://www.rokomari.com/book/411137/amader-ghorbari-prosongho-kotha,আবুল ফরাজ খান,N/A
"Mechanical Engineering Question Bank - With Solution
এমরান হোসেন",https://www.rokomari.com/book/405858/mechanical-engineering-question-bank,এমরান হোসেন,N/A
"A Guide to Essential Knowledge on RMG and Textiles Part-II
মোঃ মনিরুল ইসলাম রাজিব",https://www.rokomari.com/book/295258/a-guide-to-essential-knowledge-on-rmg-and-textiles-part-ii,মোঃ মনিরুল ইসলাম রাজিব,(49)
"An Introductory Knowledge About Garments Manufacturing Technology
খন্দকার আবু নাফিজ",https://www.rokomari.com/book/133647/an-introductory-knowledge-about-garments-manufacturing-technology,খন্দকার আবু নাফিজ,(1)
"বাংলা টেক্সটাইল ডিকশনারি
এম এ সাইম",https://www.rokomari.com/book/210173/bangla-textile-dictionary,এম এ সাইম,(3)
"প্রকৌশল শব্দকোষ
সমীর কুমার সরকার ",https://www.rokomari.com/book/140213/prokousule-shobdokosh,সমীর কুমার সরকার,N/A
"Genaral Knowledge In Textile And Garments
এম. এ. সাঈদ",https://www.rokomari.com/book/436858/genaral-knowledge-in-textile-and-garments,এম. এ. সাঈদ,N/A
"The Smart Clothing Manager
সামিউল ইসলাম",https://www.rokomari.com/book/432611/the-smart-clothing-manager,সামিউল ইসলাম,N/A
"Environment, Climate Change and Water Resource
ড. কাজী খলীকুজ্জামান আহমদ",https://www.rokomari.com/book/172686/environment-climate-change-and-water-resource,ড. কাজী খলীকুজ্জামান আহমদ,N/A
"Modern Textile and Apparel Merchandising
ইঞ্জি. মোঃ ফারুক হোসেন",https://www.rokomari.com/book/436861/modern-textile-and-apparel-merchandising,ইঞ্জি. মোঃ ফারুক হোসেন,N/A
"Digital Logic and Computer Design
এম. মরিস মানো",https://www.rokomari.com/book/181484/digital-logic-and-computer-design,এম. মরিস মানো,(2)
